COD_RUBRICA;DESCR_RUBRICA

1;PADRAO
2;Padrão - complementar
3;D S R
4;SALARIO FAMILIA
5;Salário Maternidade até 4 meses
6;AUXILIO ENFERMIDADE
7;AUXILIO ACID.TRABALHO
8;INTEGRACAO D.S.R.
9;INSUFICIENCIA SALAR.
10;ARREDONDAMENTO ATUAL
11;ADICIONAL PERICULOSIDADE
12;ADICIONAL INSALUBRIDADE
13;ADICIONAL NOTURNO
14;FALTAS ABONADAS EM DIAS
15;FALTAS ABONADAS EM DIAS
16;FALTAS ABONADAS EM DIAS
17;FALTAS ABONADAS EM DIAS
18;FALTAS ABONADAS EM DIAS
19;FALTAS ABONADAS EM HORA
20;FALTAS ABONADAS EM HORA
21;FALTAS ABONADAS EM HORA
22;FALTAS ABONADAS EM HORA
23;FALTAS ABONADAS EM HORA
24;INTEGRACAO D.S.R.
25;LICENCA GESTANTE
26;Debito no Mês
27;DEBITO ANTERIOR
28;ADIC. ESPEC. 1/3 - dif. A. Noturno
29;Salário Maternidade + de 4 meses
30;Credito no Mes
31;13o SALARIO - 1a PARCEL
32;INTEGRACAO 13o. ANTECIP
33;13o SALARIO
34;INTEGRACAO 13o. SALARIO
35;LICENÇA MATERN. ESPECIAL L13379/02
36;Comissionados L16671/17, art 4, Par5
37;Dif. Comissionados L16671/17, art 4, §5
38;Ferias Inicio
39;Ferias Fim
40;BASE FERIAS ESTATUTARIO
41;FERIAS
42;INTEGRACAO DE FERIAS (Inicio)
43;ABONO ESPECIAL DE FERIA
44;ABONO PECUNIARIO FERIAS
45;ADIANTAMENTO DE 13o NAS
46;DIFERENCA DE FERIAS
47;DIF. ABONO PECUN. FERIAS
48;1/3 FERIAS (CONSTITUICA
49;GRAT.GAB.CARGO-
50;HORA EXTRA
51;HORA EXTRA 72%
52;BOLSA ESTAGIO
53;AUX. DOENÇA - Art 126 -L 8989/79
54;Custeio de Bolsas de Estudos - NB
55;ADIC PERICULOSIDADE - AÇÃO JUDICIAL
56;ABONO PECUNIÁRIO DE FÉRIAS - ATO Nº 1571/2023
57;Salário Maternidade até 4 meses - Anterior
60;FERIAS INDENIZADAS ANTES 1988
61;AVISO PREVIO
62;INTEGRACAO DO AVISO PRE
63;FERIAS PROPORCIONAIS INDENIZADAS
64;INTEGRACAO FERIAS INDEN
65;FERIAS INDENIZADAS
66;1/3 FERIAS INDENIZADAS
67;13o SALARIO PROPORCIONAL
68;13o SAL. PROP. AO AVISO
69;INTEGRACAO 13o SAL.PROP
70;FGTS DO MES ANTERIOR
71;FGTS DA RESCISAO
72;F.G.T.S. 40% QUITACAO
73;SALARIO  MATERNIDADE - 13º
74;PASEP
75;Auxílio Saúde
76;Auxílio Alimentação - exonerados
80;Média Art 40,§1,III, EC20/98 e 41/03
81;13º SALÁRIO - 1ª PARCELA (com FGTS)
90;1/3 FERIAS CARGO EM COMISSÃO
91;DIF.FERIAS C
92;1/3 FÉRIAS - VEREADORES (22)
93;1/3 FÉRIAS - VEREADORES (22C)
94;1/3 FÉRIAS - VEREADORES (22B)
99;LICENÇA COMPENSATÓRIA INDENIZADA - LEI Nº 17970/2023
100;Abatimento IRRF Aposentado
100;Abatimento IRRF Aposentado > 65 anos
101;Abate IPREM
102;GRAT.GAB.PERMANENTE
103;GRAT.GAB.CONTINUA
104;GRAT.GAB.INCORPORADA
105;Acerto Parcela Isenta 65 anos (Abatimento)
106;AUXILIO ENFERMIDADE INFORMADO
107;AUXILIO ACID.TRABALHO INFORMADO
108;DIF DE 13º - SEM PREV
109;ATUAL. MONET. BP - VALOR
110;Abatimento IRRF Aposentado 13º
111;Atual. Monet. (não BP) - valor
112;DIF. VENCTOS 3 COM PREVIDÊNCIA
113;DIF. VENCTOS 3 SEM PREVIDÊNCIA
114;DIF. VENCTOS 4 COM PREVIDÊNCIA
115;DIF. VENCTOS 4 SEM PREVIDÊNCIA
116;DIF. FÉRIAS SEM PREVIDÊNCIA
117;DIF. FÉRIAS COM PREVIDÊNCIA
118;DIF. ABONO PECUNIARIO
119;DIF. VENCTOS 5 COM PREVIDÊNCIA
120;DIF. VENCTOS 5 SEM PREVIDÊNCIA
130;ADICIONAL NOTURNO INFORMADO
139;149 p/Vinculo 19B
140;163 p/Vinculo 19B
141;286 p/Vinculo 19B
142;ADICIONAL DE RX - Sem Prev
143;DEV DESCONTO INDEVIDO anos anteriores
144;Dev de Previd PRIVADA do exercício
145;GRATIFICACAO ESPEC.INCO
146;DIF.VENCIMENTO 2
147;ABONO RESOL.5/84
148;GRATIF.R.J.E.
149;AD.TEMPO SERV. ATÉ 31/12/03
149;ADIC. TEMPO SERVICO
149;ADIC. TEMPO SERVICO até L.13637/03
150;ADICIONAL ESPECIAL
151;GRAT.ESPECIAL ASSESSORA
152;ABONO
153;ADICIONAL ESPEC.1/3
154;ADICIONAL 1/3
155;ADICIONAL DE RX
156;HORA EXTRA 100%
157;VERBA HONORARIA
158;Grat.GAB. PERM. BP Anterior 21/08/09
158;GRAT.GAB.PERM. Anterior21/08/09
159;DIFERENCA ADICIONAL
160;GRAT.GAB.CONTINUA BP Anterior 21/08/09
161;HORA EXTRA 100% C/AD.NO
162;ADICIONAL 30% DA11
163;SEXTA PARTE ATÉ 31/12/03
163;SEXTA PARTE
163;SEXTA PARTE até 21/08/09
164;GRAT.GABINETE
165;DEVOLUCAO DE IMP.RENDA
166;GRATIF.INCORPORADA
167;SALARIO  ESPOSA estatutário
167;SALARIO ESPOSA
168;DIF.DE 13o.
169;CORREÇAO MONETÁRIA (base)
170;GRATIF.FUNCAO
171;GRAT.ESP. ESTATUTAR MES ATUAL
172;Atualiz Monetária s/ FÉRIAS INDENIZADAS (não base)
173;GRAT.SM
174;GRATIF.ARTIGO 100 incorporada
175;REMUNERACAO
176;AJUDA DE CUSTO
177;DEV.VALE/AUX TRANSPORTE
178;DIFERENCA DE ART.37 INC
179;ARREDONDAMENTO POSITIVO
180;SUBSTITUIÇAO
181;SUBST.INCORPORADA CS
182;DIF.GRAT.GABINETE
183;HORA EXTRA 72%
184;DIF. VENCTOS EXERC ATUAL
184;DIFERENCA VENCTOS
185;REMUN ADICIONAL
